Goal velocity (deg/s),Present velocity (deg/s),Measured velocity (deg/s)
-152.39999999999998,-152.3081605584652,-152.3399444122098
152.39999999999998,152.3061093069863,152.339985783189
-153.0,-152.9145873280545,-152.9456494283226
153.0,152.91605681433896,152.9456970970622
-153.6,-153.51916357643168,-153.5515155802728
153.6,153.51368069759968,153.5514806819824
-154.2,-154.12992095267435,-154.1573449768582
154.2,154.12793137288145,154.1573749754694
-154.79999999999998,-154.73063050754797,-154.7632318207588
154.79999999999998,154.73831542318925,154.7631566952046
-155.39999999999998,-155.3353263716463,-155.369324965551
155.39999999999998,155.33616856414537,155.3690002670902
-156.0,-155.94889539037428,-155.9750904680296
156.0,155.95002992383235,155.9748705598076
-156.6,-156.54997970750952,-156.5810278433776
156.6,156.55459834368776,156.5808571693516
-157.2,-157.15461902800968,-157.1871290112658
157.2,157.15626976059758,157.1868352688486
-157.79999999999998,-157.76232472198686,-157.7930849141888
157.79999999999998,157.7707876479416,157.7927977296792
-158.39999999999998,-158.3695786488063,-158.3989422142194
158.39999999999998,158.37320940664776,158.3986565529322
-159.0,-158.90133579184624,-158.9374621300264
159.0,158.90295381677063,158.9373528373174
-159.6,-159.5089816360592,-159.5433606145678
159.6,159.51794286110973,159.543158628789
-160.2,-160.11766094867676,-160.1491787161916
160.2,160.11783335084448,160.149058195302
-160.79999999999998,-160.73338388886734,-160.7549822176148
160.79999999999998,160.72144457425193,160.7548948982708
-161.39999999999998,-161.32884556496694,-161.360697885596
161.39999999999998,161.3276962025286,161.3607386128954
-162.0,-161.93106040268265,-161.966545594984
162.0,161.93876394849624,161.9665381655662
-162.6,-162.54018860754937,-162.572356699626
162.6,162.53925566567185,162.5723285562016
-163.2,-163.14726689895525,-163.1780337270762
163.2,163.15392493638677,163.1781952758994
-163.79999999999998,-163.75752620258748,-163.7838534208802
163.79999999999998,163.75546842325232,163.7838495419168
-164.39999999999998,-164.3492561184575,-164.3896655079552
164.39999999999998,164.35369247787534,164.3897454644212
-165.0,-164.96643836589587,-164.995528115761
165.0,164.96090593061268,164.9955147103938
-165.6,-165.50051162289256,-165.5339205114788
165.6,165.50885945810774,165.5340227497784
-166.2,-166.11340273625765,-166.1398602372952
166.2,166.0976203924447,166.1399033197794
-166.79999999999998,-166.72656646744753,-166.7456204967852
166.79999999999998,166.72971758665122,166.7456514068974
-167.39999999999998,-167.31537274346368,-167.3516449665874
167.39999999999998,167.3150050032802,167.3515132140184
-168.0,-167.92629406885337,-167.9575226663562
168.0,167.92721866920894,167.9573347720268
-168.6,-168.52817686375508,-168.563494655788
168.6,168.53158870801656,168.5632011659024
-169.2,-169.1434684576664,-169.1694422648692
169.2,169.14421950367313,169.1690466205108
-169.79999999999998,-169.74890849030197,-169.775320423166
169.79999999999998,169.74262383504552,169.7750578361578
-170.39999999999998,-170.3430413335603,-170.3813521136656
170.39999999999998,170.35511780372815,170.3811023806314
-171.0,-170.96069776072974,-170.987200667417
171.0,170.96482070820073,170.9869153142006
-171.6,-171.56321317787865,-171.5930942084164
171.6,171.5703109095942,171.592923129727
-172.2,-172.17285294318583,-172.1988692125938
172.2,172.17410011878184,172.1987737541278
-172.79999999999998,-172.71766203624512,-172.737348889227
172.79999999999998,172.70423556058586,172.7373794069768
-173.39999999999998,-173.31351254879962,-173.34320554564
173.39999999999998,173.31562883884072,173.3431606797706
-174.0,-173.92087145495864,-173.948907933394
174.0,173.91296147170905,173.948992908473
-174.6,-174.52137541805808,-174.5547537777866
174.6,174.52736057136622,174.5547283427992
-175.2,-175.12001503913342,-175.1604155173716
175.2,175.13194897635293,175.1604626631006
-175.79999999999998,-175.73439843550494,-175.7663503396508
175.79999999999998,175.7419940994546,175.7662869183308
-176.39999999999998,-176.3434331093438,-176.3719296090154
176.39999999999998,176.34315444041493,176.3722153023988
-177.0,-176.9406682859141,-176.9779634059148
177.0,176.95148905460775,176.9780077397724
-177.6,-177.56523293570862,-177.583791617995
177.6,177.54993035304264,177.5838826490104
-178.2,-178.16083223889106,-178.1896578924064
178.2,178.16920861819438,178.1895648871472
-178.79999999999998,-178.76325012982966,-178.7955882591376
178.79999999999998,178.77096096733644,178.7954598117742
-179.39999999999998,-179.31979981573252,-179.3341147453152
179.39999999999998,179.31853632880464,179.334056316316
-180.0,-179.91150462868015,-179.9401017440334
180.0,179.91716689536105,179.9399146328878
-180.6,-180.5218493880742,-180.5460928504502
180.6,180.51459995822563,180.5458713685624
-181.2,-181.11578874841132,-181.1519668817342
181.2,181.1339235054931,181.1517028617362
-181.79999999999998,-181.73239355866775,-181.757890078096
181.79999999999998,181.72590970986064,181.757652375089
-182.39999999999998,-182.33314085553835,-182.3638282176368
182.39999999999998,182.33340205442641,182.3635678667688
-183.0,-182.9378547900107,-182.9697045782162
183.0,182.9434702273054,182.9692529464974
-183.6,-183.5486104538623,-183.5754427885958
183.6,183.5475068035846,183.5751105328978
-184.2,-184.1534879203605,-184.1812340553462
184.2,184.1598892267596,184.1810604424076
-184.79999999999998,-184.759861111109,-184.787084916609
184.79999999999998,184.7552812854815,184.787080302182
-185.39999999999998,-185.35852874820122,-185.3928721349306
185.39999999999998,185.36132572131592,185.3928788428698
-186.0,-185.90386426544956,-185.931395692572
186.0,185.91475158797778,185.9314580051544
-186.6,-186.50937618530983,-186.5371744916254
186.6,186.50146787099885,186.5372894626986
-187.2,-187.10721373781658,-187.142910086768
187.2,187.1160098606451,187.1430171956794
-187.79999999999998,-187.7211658632974,-187.7487666731816
187.79999999999998,187.7262101651719,187.7488495220992
-188.39999999999998,-188.3333314563221,-188.3546494448134
188.39999999999998,188.33429906867806,188.3546663647862
-189.0,-188.9317038172203,-188.9604798749052
189.0,188.93461722980098,188.9605011913036
-189.6,-189.54876510342157,-189.566283514094
189.6,189.53987386837804,189.5663617662692
-190.2,-190.1438889836027,-190.1721285677554
190.2,190.14608843306686,190.1721785396026
-190.79999999999998,-190.74864174837205,-190.7779788539768
190.79999999999998,190.75897872052286,190.777958941505
-191.39999999999998,-191.35991485013994,-191.3838971026962
191.39999999999998,191.35608833446128,191.3838046809524
-192.0,-191.96274910577756,-191.9898577704764
192.0,191.95840886067995,191.9896799201806
-192.6,-192.5661854129183,-192.5958451708952
192.6,192.56061223114287,192.595591535037
-193.2,-193.10875309605657,-193.1344582503404
193.2,193.11202625880014,193.134280405534
-193.79999999999998,-193.71223370725858,-193.7402461489016
193.79999999999998,193.71465736255632,193.7400999279784
-194.39999999999998,-194.31584362559957,-194.3463775682324
194.39999999999998,194.3113227513214,194.3460406319006
-195.0,-194.92196996014843,-194.9520623433598
195.0,194.92101860322876,194.951808543053
-195.6,-195.5275536887701,-195.5577799456868
195.6,195.52708340399215,195.5575694534094
-196.2,-196.13742828145476,-196.1636195794022
196.2,196.13394416897987,196.163545204206
-196.79999999999998,-196.73774648842263,-196.769559356066
196.79999999999998,196.73103815743383,196.7695377121972
-197.39999999999998,-197.34717499744778,-197.3752753419492
197.39999999999998,197.3508153631869,197.3753886182438
-198.0,-197.9544579780656,-197.9811576396412
198.0,197.96048989297697,197.9811567734878
-198.6,-198.55350829009512,-198.587047046128
198.6,198.55320073189793,198.586996526093
-199.2,-199.16703688690293,-199.1927974760868
199.2,199.1685261908744,199.192798059
-199.79999999999998,-199.70804187695697,-199.731264980572
199.79999999999998,199.70087346938564,199.731342724808
-200.39999999999998,-200.30779993863328,-200.337160153862
200.39999999999998,200.3072675113537,200.337190541316
-200.99999999999997,-200.9125349506597,-200.94300455355
200.99999999999997,200.91344295921343,200.943028786636
-201.6,-201.51398319328152,-201.548829064096
201.6,201.51684852615602,201.548830415224
-202.2,-202.11812197615356,-202.154669972718
202.2,202.13824731036703,202.154631424512
-202.79999999999998,-202.73767545974655,-202.76048365014
202.79999999999998,202.73244965414298,202.760460953228
-203.39999999999998,-203.34003666859468,-203.366375201412
203.39999999999998,203.34113172795455,203.366306229804
-203.99999999999997,-203.93703459301608,-203.972309922982
203.99999999999997,203.9500509384331,203.972154340802
-204.6,-204.5465467601332,-204.578359394268
204.6,204.54822335025622,204.57783295701
-205.2,-205.16292716319816,-205.184131161042
205.2,205.15519631754418,205.183882565964
-205.79999999999998,-205.75984192672874,-205.789966196092
