Goal velocity (deg/s),Present velocity (deg/s),Measured velocity (deg/s)
156.6,156.55148395043796,156.5813938263336
-157.2,-157.1521407366685,-157.1877281621894
157.2,157.1609603636877,157.1873580748368
-157.79999999999998,-157.75981425898152,-157.793517495741
157.79999999999998,157.75412956080092,157.7935320150128
-158.39999999999998,-158.3772994710557,-158.399345531588
158.39999999999998,158.38044433385934,158.39935562432
-159.0,-158.90807888226226,-158.938084796266
159.0,158.90440410358474,158.9378513737942
-159.6,-159.51191135135292,-159.5438670211298
159.6,159.50880410499886,159.54357456344
-160.2,-160.11896692439808,-160.149723983661
160.2,160.11713228280306,160.149479846377
-160.79999999999998,-160.71906282219723,-160.7556775356936
160.79999999999998,160.72062256809176,160.7553951929252
-161.39999999999998,-161.32561069387756,-161.3614429333292
161.39999999999998,161.328538060005,161.3613559353778
-162.0,-161.9369218348583,-161.9671894227662
162.0,161.94677556515873,161.9672154227802
-162.6,-162.55249042430464,-162.57304589524
162.6,162.54539143848663,162.573067980974
-163.2,-163.14107393353908,-163.1787678658772
163.2,163.15175949079378,163.1788123803338
-163.79999999999998,-163.76272852045133,-163.7845337878144
163.79999999999998,163.764857044174,163.7846266273952
-164.39999999999998,-164.3697693525299,-164.390394088539
164.39999999999998,164.36088244441137,164.390348279613
-165.0,-164.9561735760171,-164.9962469998892
165.0,164.95809605745646,164.996190300414
-165.6,-165.51704791177053,-165.5349048582226
165.6,165.49686161978497,165.5347150823226
-166.2,-166.1070840345553,-166.1407899707672
166.2,166.10765071872885,166.1405202368368
-166.79999999999998,-166.7062501423413,-166.7467083413602
166.79999999999998,166.73908163265244,166.7463623695012
-167.39999999999998,-167.31402047729588,-167.3525694776526
167.39999999999998,167.32746897990592,167.3522717143082
-168.0,-167.91948956270144,-167.9584722732982
168.0,167.93207589705352,167.9581699511168
-168.6,-168.5363725490217,-168.5643211795694
168.6,168.5324153695479,168.563939280131
-169.2,-169.14645732985568,-169.1702160865072
169.2,169.13863496525244,169.169728561383
-169.79999999999998,-169.75016941195102,-169.7763875902556
169.79999999999998,169.7502813943743,169.775884077591
-170.39999999999998,-170.35213587681594,-170.381978902529
170.39999999999998,170.34183588317157,170.38173765661
-171.0,-170.94715881352116,-170.987840537199
171.0,170.9499988319104,170.9877371355052
-171.6,-171.56386430678234,-171.5937838277838
171.6,171.5633268536478,171.593692027576
-172.2,-172.18109356860626,-172.1995720192054
172.2,172.17085596499143,172.1993736701202
-172.79999999999998,-172.70934630090034,-172.7381346772346
172.79999999999998,172.71602258026311,172.738011937511
-173.39999999999998,-173.309782049847,-173.343890085346
173.39999999999998,173.30775970054808,173.3439990466032
-174.0,-173.9097027696449,-173.9498585197042
174.0,173.91642053714756,173.9498037203384
-174.6,-174.52131903932184,-174.5555132987948
174.6,174.53167227418942,174.5555424531298
-175.2,-175.14129385709413,-175.1613154023666
175.2,175.13334248455786,175.1613652678952
-175.79999999999998,-175.7291769355125,-175.7670991637142
175.79999999999998,175.7343624161061,175.7670820610098
-176.39999999999998,-176.3436161702454,-176.3729716229142
176.39999999999998,176.34596012672878,176.3730250931056
-177.0,-176.95241110644167,-176.9789215691788
177.0,176.9582126600002,176.9787882605626
-177.6,-177.55507016662085,-177.5846909500042
177.6,177.56125432135863,177.5846381469766
-178.2,-178.15903147137467,-178.190652618823
178.2,178.16288807586344,178.1904149526276
-178.79999999999998,-178.7627696946894,-178.796477501514
178.79999999999998,178.759057706083,178.7962074597842
-179.39999999999998,-179.3054487298759,-179.33508746432
179.39999999999998,179.30433638319323,179.334754516178
-180.0,-179.91519042680025,-179.9410140804242
180.0,179.9129238956186,179.940710183274
-180.6,-180.5287280142809,-180.546877207873
180.6,180.51933452646938,180.5464524271314
